State,District,Name,Address,Phone,Latitude,Longitude
Madhya Pradesh,Bhopal,CSC Center (Jahangirabad),"Near Jahangirabad Square, Jahangirabad, Bhopal, MP 462008",+91-755-2233445,23.2352,77.4276
Madhya Pradesh,Bhopal,CSC e-Gov (MP Nagar),"Devashish Complex, 160 Zone 1, MP Nagar, Bhopal, MP 462011",+91-755-1234567,23.2335,77.4344
Madhya Pradesh,Bhopal,CSC Aadhaar Update Centre (Indrapuri),"200 C Sector, Indrapuri, BHEL, Bhopal, MP 462022",+91-755-2345678,23.2494,77.4661
Madhya Pradesh,Bhopal,CSC Aadhaar Update Centre (Hamidia Road),"Shop No. 1, Near Alpana Tiraha, Hamidia Road, Bhopal, MP 462001",+91-755-3456789,23.2585,77.4019
Madhya Pradesh,Bhopal,CSC Center (JP Nagar),"JP Nagar, Bhopal, MP 462001",+91-755-4567890,23.2734,77.4086
Madhya Pradesh,Bhopal,CSC Center (Navbahar Colony),"Navbahar Colony, Bhopal, MP 462016",+91-755-5678901,23.2651,77.4153
Madhya Pradesh,Bhopal,CSC Center (Kolar Road),"Kolar Road, Bhopal, MP 462042",+91-755-6789012,23.1899,77.4285
Madhya Pradesh,Bhopal,CSC Center (Bairagarh),"Bairagarh, Bhopal, MP 462030",+91-755-7890123,23.2844,77.3406
Madhya Pradesh,Bhopal,CSC Center (Karond),"Karond, Bhopal, MP 462038",+91-755-8901234,23.2937,77.4245
Madhya Pradesh,Bhopal,CSC Center (Misrod),"Misrod, Bhopal, MP 462047",+91-755-9012345,23.1743,77.4697
Madhya Pradesh,Bhopal,CSC Center (Awadhpuri),"Awadhpuri, Bhopal, MP 462022",+91-755-0123456,23.2299,77.4826
Madhya Pradesh,Bhopal,CSC Center (Shahpura),"Shahpura, Bhopal, MP 462039",+91-755-1122334,23.2074,77.4327
Madhya Pradesh,Bhopal,CSC Center (Lalghati),"Lalghati, Bhopal, MP 462030",+91-755-2233445,23.2762,77.3689
Madhya Pradesh,Bhopal,CSC Center (Berasia Road),"Berasia Road, Bhopal, MP 462001",+91-755-3344556,23.2873,77.4066
Madhya Pradesh,Bhopal,CSC Center (Chhola Road),"Chhola Road, Bhopal, MP 462001",+91-755-4455667,23.2836,77.4122
Madhya Pradesh,Bhopal,CSC Center (Anand Nagar),"Anand Nagar, Bhopal, MP 462022",+91-755-5566778,23.2415,77.4778
