scheme_name,category_type,min_age,max_age,max_annual_income,applicable_state,social_category,occupation,gender,description,benefits,apply_link,deadline,form_link
PM Kisan Samman Nidhi,Agriculture,18.0,,,All,All,Farmer,All,Income support scheme for small and marginal farmer families,Rs 6000 per year in 3 installments directly to bank account,https://pmkisan.gov.in,,https://pmkisan.gov.in
PM Fasal Bima Yojana,Agriculture,18.0,,,All,All,Farmer,All,Crop insurance scheme covering losses due to natural calamities,Premium as low as 2% for kharif and 1.5% for rabi crops,https://pmfby.gov.in,,https://pmfby.gov.in
Kisan Credit Card Scheme,Agriculture,18.0,,,All,All,Farmer,All,Short term credit facility for farmers,Credit up to Rs 3 lakh at subsidized interest rate,https://www.myscheme.gov.in,,
Soil Health Card Scheme,Agriculture,18.0,,,All,All,Farmer,All,Provides soil nutrient status and fertilizer recommendations,Free soil testing and health card every 2 years,https://www.myscheme.gov.in,,
PM Krishi Sinchayee Yojana,Agriculture,18.0,,,All,All,Farmer,All,Irrigation scheme to improve water use efficiency,Financial assistance for micro irrigation infrastructure,https://www.myscheme.gov.in,,
e-NAM (National Agriculture Market),Agriculture,18.0,,,All,All,Farmer,All,Online trading platform for agricultural commodities,Access to pan-India market for better price discovery,https://enam.gov.in,,
PM Annadata Aay Sanrakshan Abhiyan (PM-AASHA),Agriculture,18.0,,,All,All,Farmer,All,Ensures remunerative prices to farmers for their produce,Price support and price deficiency payment,https://www.myscheme.gov.in,,
Rashtriya Krishi Vikas Yojana,Agriculture,18.0,,,All,All,Farmer,All,Holistic growth of agriculture and allied sectors,State-specific financial assistance for farm projects,https://www.myscheme.gov.in,,
PM Kisan Maandhan Yojana,Agriculture,18.0,40.0,,All,All,Farmer,All,Pension scheme for small and marginal farmers,Rs 3000 monthly pension after age 60,https://www.myscheme.gov.in,,
Agriculture Infrastructure Fund,Agriculture,18.0,,,All,All,Farmer,All,Financing facility for post-harvest management infrastructure,Interest subvention of 3% on loans up to Rs 2 crore,https://www.myscheme.gov.in,,
PM Formalisation of Micro Food Processing Enterprises (PMFME),Agriculture,18.0,,,All,All,Entrepreneur,All,Support for unorganized micro food processing units,Credit linked subsidy of 35% of project cost,https://www.myscheme.gov.in,,
PM Matsya Sampada Yojana,Agriculture,18.0,,,All,All,Fisherman,All,Development of fisheries sector,Financial support for fisheries infrastructure and livelihoods,https://www.myscheme.gov.in,,
Rashtriya Gokul Mission,Agriculture,18.0,,,All,All,Farmer,All,Conservation and development of indigenous cattle breeds,Support for breeding farms and genetic improvement,https://www.myscheme.gov.in,,
National Beekeeping and Honey Mission,Agriculture,18.0,,,All,All,Farmer,All,Promotion of scientific beekeeping,Financial assistance for beekeeping equipment and training,https://www.myscheme.gov.in,,
Paramparagat Krishi Vikas Yojana,Agriculture,18.0,,,All,All,Farmer,All,Promotion of organic farming through cluster approach,Financial assistance of Rs 50000 per hectare over 3 years,https://www.myscheme.gov.in,,
Kisan Rail Scheme,Agriculture,18.0,,,All,All,Farmer,All,Rail transport for perishable agricultural produce,Subsidized freight for transporting fruits and vegetables,https://www.myscheme.gov.in,,
Operation Greens Scheme,Agriculture,18.0,,,All,All,Farmer,All,"Stabilization of price of tomato, onion and potato",Subsidy on transport and storage of TOP crops,https://www.myscheme.gov.in,,
National Food Security Mission,Agriculture,18.0,,,All,All,Farmer,All,"Increasing production of rice, wheat, pulses and coarse cereals","Support for seeds, farm machinery and demonstrations",https://www.myscheme.gov.in,,
Micro Irrigation Fund,Agriculture,18.0,,,All,All,Farmer,All,Expansion of micro irrigation coverage,Additional funding support beyond PMKSY,https://www.myscheme.gov.in,,
Sub Mission on Agricultural Mechanization,Agriculture,18.0,,,All,All,Farmer,All,Promotes use of farm machinery,Subsidy on purchase of agricultural equipment,https://www.myscheme.gov.in,,
MGNREGA,Rural Development,18.0,,,All,All,Laborer,All,Guarantees 100 days of wage employment in rural areas,Guaranteed wage employment for rural households,https://nrega.nic.in,,https://nrega.nic.in
PM Awas Yojana - Gramin,Housing,18.0,,120000.0,All,All,BPL,All,Housing for rural poor households,Financial assistance for pucca house construction,https://www.myscheme.gov.in,,
PM Gram Sadak Yojana,Rural Development,,,,All,All,All,All,Rural road connectivity programme,All-weather road connectivity to unconnected habitations,https://www.myscheme.gov.in,,
Deendayal Antyodaya Yojana - NRLM,Rural Development,18.0,,,All,All,BPL,All,Poverty alleviation through self-help groups,"Bank linkage, skill training and livelihood support",https://aajeevika.gov.in,,https://aajeevika.gov.in
Deendayal Upadhyaya Grameen Kaushalya Yojana (DDU-GKY),Skill Development,15.0,35.0,,All,All,Unemployed Youth,All,Skill training for rural youth,Free skill training and placement assistance,https://www.myscheme.gov.in,,
Shyama Prasad Mukherji Rurban Mission,Rural Development,,,,All,All,All,All,Development of rural growth clusters,Infrastructure development in rural clusters,https://www.myscheme.gov.in,,
